,Content type:,European public assessment reports (EPARs),Output generated at:,"Thu, 11/05/2023 - 18:46",Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
0,,,,,,,Domenico Scarlattilaan 6 * 1083 HS Amsterdam * The Netherlands,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,Tel.: +31 (0)88 781 6000,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,Send a question via our website: www.ema.europa.eu/en/contact,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,An agency of the European Union,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Category,Medicine name,Therapeutic area,International non-proprietary name (INN) / common name,Active substance,Product number,Patient safety,Authorisation status,ATC code,Additional monitoring,Generic,Biosimilar,Conditional approval,Exceptional circumstances,Accelerated assessment,Orphan medicine,Marketing authorisation date,Date of refusal of marketing authorisation,Marketing authorisation holder/company name,Human pharmacotherapeutic group,Vet pharmacotherapeutic group,Date of opinion,Decision date,Revision number,Condition / indication,Species,ATCvet code,First published,Revision date,URL
8,Human,Lenvima,Thyroid Neoplasms,lenvatinib,lenvatinib mesilate,EMEA/H/C/003727,no,Authorised,L01XE,yes,no,no,no,no,yes,no,2015-05-28 00:00:00,,Eisai GmbH,Antineoplastic agents,,2015-03-26 01:00:00,2023-03-09 01:00:00,18,"Lenvima is indicated as monotherapy for the treatment of adult patients with progressive, locally advanced or metastatic, differentiated (papillary/follicular/Hürthle cell) thyroid carcinoma (DTC), refractory to radioactive iodine (RAI).Lenvima is indicated as monotherapy for the treatment of adult patients with advanced or unresectable hepatocellular carcinoma (HCC) who have received no prior systemic therapy.",,,2018-06-21 12:16:00,2023-05-11 15:24:00,https://www.ema.europa.eu/en/medicines/human/EPAR/lenvima
9,Human,Febuxostat Krka,Hyperuricemia;  Gout,febuxostat,febuxostat,EMEA/H/C/004773,no,Authorised,M04AA03,no,yes,no,no,no,no,no,2019-03-28 01:00:00,,"Krka, d.d., Novo mesto",Antigout preparations,,2019-01-31 01:00:00,2023-05-11 00:00:00,4,"Febuxostat Krka is indicated for the treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis).Febuxostat Krka is indicated in adults.",,,2019-03-29 17:03:00,2023-05-11 15:01:00,https://www.ema.europa.eu/en/medicines/human/EPAR/febuxostat-krka
10,Human,Tasigna,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",nilotinib,nilotinib,EMEA/H/C/000798,no,Authorised,L01EA03,no,no,no,no,no,no,no,2007-11-19 01:00:00,,Novartis Europharm Limited,Antineoplastic agents,,,2022-05-19 00:00:00,42,"Tasigna is indicated for the treatment of:adult and paediatric patients with newly diagnosed Philadelphia chromosome positive chronic myelogenous leukaemia (CML) in the chronic phase,paediatric patients with Philadelphia chromosome positive CML in chronic phase with resistance or intolerance to prior therapy including imatinib.Tasigna is indicated for the treatment of:adult and paediatric patients with newly diagnosed Philadelphia chromosome positive chronic myelogenous leukaemia (CML) in the chronic phase,adult patients with chronic phase and accelerated phase Philadelphia chromosome positive CML with resistance or intolerance to prior therapy including imatinib. Efficacy data in patients with CML in blast crisis are not available,paediatric patients with chronic phase Philadelphia chromosome positive CML with resistance or intolerance to prior therapy including imatinib.",,,2017-11-15 01:09:00,2023-05-11 14:40:00,https://www.ema.europa.eu/en/medicines/human/EPAR/tasigna
11,Human,DuoResp Spiromax,"Pulmonary Disease, Chronic Obstructive;  Asthma","budesonide, formoterol","Budesonide, formoterol fumarate dihydrate",EMEA/H/C/002348,no,Authorised,R03AK07,no,no,no,no,no,no,no,2014-04-28 00:00:00,,Teva Pharma B.V.,"Drugs for obstructive airway diseases, ",,,2023-05-04 00:00:00,12,"Asthma DuoResp Spiromax is indicated in adults and adolescents (12 years and older) for the regular treatment of asthma, where use of a combination (inhaled corticosteroid and long-acting β₂ adrenoceptor agonist) is appropriate:in patients not adequately controlled with inhaled corticosteroids and “as needed” inhaled short-acting β₂ adrenoceptor agonists.orin patients already adequately controlled on both inhaled corticosteroids and long-acting β₂ adrenoceptor agonists.COPDDuoResp Spiromax is indicated in adults, aged 18 years and older for the symptomatic treatment of patients with COPD with forced expiratory volume in 1 second (FEV₁) ",,,2018-07-10 12:05:00,2023-05-11 14:36:00,https://www.ema.europa.eu/en/medicines/human/EPAR/duoresp-spiromax
12,Human,Rydapt,"Leukemia, Myeloid, Acute;  Mastocytosis",midostaurin,Midostaurin,EMEA/H/C/004095,no,Authorised,L01XE,no,no,no,no,no,no,yes,2017-09-18 00:00:00,,Novartis Europharm Ltd,Antineoplastic agents,,2017-06-22 00:00:00,2023-03-30 00:00:00,10,"Rydapt is indicated:in combination with standard daunorubicin and cytarabine induction and high dose cytarabine consolidation chemotherapy, and for patients in complete response followed by Rydapt single agent maintenance therapy, for adult patients with newly diagnosed acute myeloid leukaemia (AML) who are FLT3 mutation positive (see section 4.2);as monotherapy for the treatment of adult patients with aggressive systemic mastocytosis (ASM), systemic mastocytosis with associated haematological neoplasm (SM AHN), or mast cell leukaemia (MCL).",,,2018-04-30 12:11:00,2023-05-11 14:29:00,https://www.ema.europa.eu/en/medicines/human/EPAR/rydapt
13,Human,Lonquex,Neutropenia,lipegfilgrastim,lipegfilgrastim,EMEA/H/C/002556,no,Authorised,L03AA14,no,no,no,no,no,no,no,2013-07-25 00:00:00,,Teva B.V.,"Immunostimulants, , Colony stimulating factors",,2013-05-30 00:00:00,2022-04-19 00:00:00,25,Lonquex is indicated in adults and in children 2 years of age and older for reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes).,,,2018-02-22 13:05:00,2023-05-11 14:29:00,https://www.ema.europa.eu/en/medicines/human/EPAR/lonquex
14,Human,Anagrelide Mylan,"Thrombocythemia, Essential",anagrelide,Anagrelide hydrochloride,EMEA/H/C/004585,no,Authorised,L01XX35,no,yes,no,no,no,no,no,2018-02-15 01:00:00,,Mylan Pharmaceuticals Limited,Antineoplastic agents,,2017-12-14 01:00:00,2023-04-28 00:00:00,8,"Anagrelide is indicated for the reduction of elevated platelet counts in at risk essential thrombocythaemia (ET) patients who are intolerant to their current therapy or whose elevated platelet counts are not reduced to an acceptable level by their current therapy.An at-risk patientAn at-risk essential thrombocythaemia patient is defined by one or more of the following features:>60 years of age ora platelet count >1,000 x 10⁹/l ora history of thrombo-haemorrhagic events. ",,,2018-02-15 13:05:00,2023-05-11 12:10:00,https://www.ema.europa.eu/en/medicines/human/EPAR/anagrelide-mylan
15,Human,Evicel,"Hemostasis, Surgical","human fibrinogen, human thrombin","human fibrinogen, human thrombin",EMEA/H/C/000898,no,Authorised,B02BC,no,no,no,no,no,no,no,2008-10-05 00:00:00,,Omrix Biopharmaceuticals N. V.,Antihemorrhagics,,,2023-03-16 01:00:00,18,"Evicel is used as supportive treatment in surgery where standard surgical techniques are insufficient, for improvement of haemostasis.Evicel is also indicated as suture support for haemostasis in vascular surgery.",,,2017-09-11 00:00:00,2023-05-11 12:02:00,https://www.ema.europa.eu/en/medicines/human/EPAR/evicel
16,Human,Colobreathe,Cystic Fibrosis,colistimethate sodium,Colistimethate sodium,EMEA/H/C/001225,no,Authorised,J01XB01,no,no,no,no,no,no,no,2012-02-13 01:00:00,,Teva B.V.,"Antibacterials for systemic use, ",,,2023-05-10 00:00:00,14,Colobreathe is indicated for the management of chronic pulmonary infections due to Pseudomonas aeruginosa in patients with cystic fibrosis (CF) aged six years and older.Consideration should be given to official guidance on the appropriate use of antibacterial agents. ,,,2018-08-08 10:20:00,2023-05-11 09:33:00,https://www.ema.europa.eu/en/medicines/human/EPAR/colobreathe
17,Human,Veklury,COVID-19 virus infection,remdesivir,remdesivir,EMEA/H/C/005622,no,Authorised,,yes,no,no,no,no,no,no,2020-07-03 00:00:00,,Gilead Sciences Ireland UC,,,2020-06-25 00:00:00,2023-04-26 00:00:00,18,Veklury is indicated for the treatment of coronavirus disease 2019 (COVID 19) in:adults and paediatric patients (at least 4 weeks of age and weighing at least 3 kg) with pneumonia requiring supplemental oxygen (low- or high-flow oxygen or other non-invasive ventilation at start of treatment)adults and paediatric patients (weighing at least 40 kg) who do not require supplemental oxygen and who are at increased risk of progressing to severe COVID-19,,,2020-07-06 11:30:00,2023-05-11 08:56:00,https://www.ema.europa.eu/en/medicines/human/EPAR/veklury
18,Human,Nexviadyme,Glycogen Storage Disease Type II,Avalglucosidase alfa,Avalglucosidase alfa,EMEA/H/C/005501,no,Authorised,A16,yes,no,no,no,no,no,no,2022-06-24 00:00:00,,Sanofi B.V.,"Other alimentary tract and metabolism products, ",,2021-11-11 01:00:00,2023-04-05 00:00:00,1,Nexviadyme (avalglucosidase alfa) is indicated for long-term enzyme replacement therapy for the treatment of patients with Pompe disease (acid α-glucosidase deficiency).,,,2021-07-20 14:57:00,2023-05-10 14:01:00,https://www.ema.europa.eu/en/medicines/human/EPAR/nexviadyme
19,Human,Tyverb,Breast Neoplasms,lapatinib,lapatinib,EMEA/H/C/000795,no,Authorised,L01EH01,no,no,no,no,no,no,no,2008-06-10 00:00:00,,Novartis Europharm Limited,Protein kinase inhibitors,,,2023-05-10 00:00:00,35,"Tyverb is indicated for the treatment of patients with breast cancer, whose tumours overexpress HER2 (ErbB2):in combination with capecitabine for patients with advanced or metastatic disease with progression following prior therapy, which must have included anthracyclines and taxanes and therapy with trastuzumab in the metastatic setting;in combination with trastuzumab for patients with hormone-receptor-negative metastatic disease that has progressed on prior trastuzumab therapy or therapies in combination with chemotherapy;in combination with an aromatase inhibitor for post-menopausal women with hormone-receptor-positive metastatic disease, not currently intended for chemotherapy. The patients in the registration study had not previously been treated with trastuzumab or an aromatase inhibitor. No data are available on the efficacy of this combination relative to trastuzumab in combination with an aromatase inhibitor in this patient population.",,,2018-07-30 12:00:00,2023-05-10 13:51:00,https://www.ema.europa.eu/en/medicines/human/EPAR/tyverb
20,Human,Ondexxya,Drug-Related Side Effects and Adverse Reactions,andexanet alfa,andexanet alfa,EMEA/H/C/004108,no,Authorised,V03AB,yes,no,no,yes,no,no,no,2019-04-26 00:00:00,,AstraZeneca AB,All other therapeutic products,,2019-02-28 01:00:00,2023-04-24 00:00:00,14,For adult patients treated with a direct factor Xa (FXa) inhibitor (apixaban or rivaroxaban) when reversal of anticoagulation is needed due to life-threatening or uncontrolled bleeding.,,,2019-06-27 16:05:00,2023-05-10 13:26:00,https://www.ema.europa.eu/en/medicines/human/EPAR/ondexxya
21,Human,Xenical,Obesity,orlistat,orlistat,EMEA/H/C/000154,no,Authorised,A08AB01,no,no,no,no,no,no,no,1998-07-29 00:00:00,,CHEPLAPHARM Arzneimittel GmbH,"Antiobesity preparations, excl. diet products",,,2023-05-10 00:00:00,25,"Xenical is indicated in conjunction with a mildly hypocaloric diet for the treatment of obese patients with a body mass index (BMI) greater or equal to 30 kg/m2, or overweight patients (BMI > 28 kg/m2) with associated risk factors.Treatment with orlistat should be discontinued after 12 weeks if patients have been unable to lose at least 5% of the body weight as measured at the start of therapy.",,,2017-05-02 16:12:00,2023-05-10 13:21:00,https://www.ema.europa.eu/en/medicines/human/EPAR/xenical
22,Human,Trajenta,"Diabetes Mellitus, Type 2",linagliptin,linagliptin,EMEA/H/C/002110,no,Authorised,A10BH05,no,no,no,no,no,no,no,2011-08-23 00:00:00,,Boehringer Ingelheim International GmbH,Drugs used in diabetes,,,2023-03-30 00:00:00,19,"Trajenta is indicated in the treatment of type 2 diabetes mellitus to improve glycaemic control in adults:as monotherapyin patients inadequately controlled by diet and exercise alone and for whom metformin is inappropriate due to intolerance, or contraindicated due to renal impairment.as combination therapyin combination with metformin when diet and exercise plus metformin alone do not provide adequate glycaemic control.in combination with a sulphonylurea and metformin when diet and exercise plus dual therapy with these medicinal products do not provide adequate glycaemic control.in combination with insulin with or without metformin, when this regimen alone, with diet and exercise, does not provide adequate glycaemic control.",,,2018-06-26 12:52:00,2023-05-10 10:45:00,https://www.ema.europa.eu/en/medicines/human/EPAR/trajenta
23,Human,Kymriah,"Precursor B-Cell Lymphoblastic Leukemia-Lymphoma;  Lymphoma, Large B-Cell, Diffuse",tisagenlecleucel,tisagenlecleucel,EMEA/H/C/004090,no,Authorised,L01XX71,yes,no,no,no,no,no,no,2018-08-22 00:00:00,,Novartis Europharm Limited,Antineoplastic agents,,2018-06-27 00:00:00,2023-04-26 00:00:00,14,"Kymriah is indicated for the treatment of:• Paediatric and young adult patients up to and including 25 years of age with B cell acute lymphoblastic leukaemia (ALL) that is refractory, in relapse post transplant or in second or later relapse.• Adult patients with relapsed or refractory diffuse large B cell lymphoma (DLBCL) after two or more lines of systemic therapy.• Adult patients with relapsed or refractory follicular lymphoma (FL) after two or more lines of systemic therapy.",,,2018-08-23 12:44:00,2023-05-10 10:25:00,https://www.ema.europa.eu/en/medicines/human/EPAR/kymriah
24,Human,Fycompa,"Epilepsies, Partial",perampanel,perampanel,EMEA/H/C/002434,no,Authorised,N03AX22,no,no,no,no,no,no,no,2012-07-23 00:00:00,,Eisai GmbH,"Antiepileptics, , Other antiepileptics",,2012-05-24 00:00:00,2023-04-27 00:00:00,32,Fycompa is indicated for the adjunctive treatment of partial-onset seizures with or without secondarily generalised seizures in adult and adolescent patients from 12 years of age with epilepsy.Fycompa is indicated for the adjunctive treatment of primary generalised tonic-clonic seizures in adult and adolescent patients from 12 years of age with idiopathic generalised epilepsy.,,,2018-04-23 14:33:00,2023-05-10 09:48:00,https://www.ema.europa.eu/en/medicines/human/EPAR/fycompa
25,Human,Gilenya,Multiple Sclerosis,fingolimod,fingolimod hydrochloride ,EMEA/H/C/002202,no,Authorised,L04AA27,no,no,no,no,no,no,no,2011-03-17 01:00:00,,Novartis Europharm Limited,Immunosuppressants,,2011-01-20 01:00:00,2023-05-09 00:00:00,34,"Gilenya is indicated as single disease modifying therapy in highly active relapsing remitting multiple sclerosis for the following groups of adult patients and paediatric patients aged 10 years and older:Patients with highly active disease despite a full and adequate course of treatment with at least one disease modifying therapy (for exceptions and information about washout periods see sections 4.4 and 5.1).orPatients with rapidly evolving severe relapsing remitting multiple sclerosis defined by 2 or more disabling relapses in one year, and with 1 or more Gadolinium enhancing lesions on brain MRI or a significant increase in T2 lesion load as compared to a previous recent MRI.",,,2018-07-02 11:01:00,2023-05-10 09:24:00,https://www.ema.europa.eu/en/medicines/human/EPAR/gilenya
26,Human,Vegzelma,"Colorectal Neoplasms;  Breast Neoplasms;  Ovarian Neoplasms;  Fallopian Tube Neoplasms;  Peritoneal Neoplasms;  Carcinoma, Non-Small-Cell Lung;  Carcinoma, Renal Cell;  Uterine Cervical Neoplasms",bevacizumab,bevacizumab,EMEA/H/C/005534,no,Authorised,L01XC07,yes,no,yes,no,no,no,no,2022-08-17 00:00:00,,Celltrion Healthcare Hungary Kft.,Antineoplastic agents,,2022-06-23 00:00:00,2023-04-18 00:00:00,3,"VEGZELMA in combination with fluoropyrimidine based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum.VEGZELMA in combination with paclitaxel is indicated for first line treatment of adult patients with metastatic breast cancer. For further information as to human epidermal growth factor receptor 2 (HER2) status, please refer to section 5.1.VEGZELMA in combination with capecitabine is indicated for first line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Patients who have received taxane and anthracycline containing regimens in the adjuvant setting within the last 12 months should be excluded from treatment with VEGZELMA in combination with capecitabine. For further information as to HER2 status, please refer to section 5.1.VEGZELMA, in addition to platinum based chemotherapy, is indicated for first line treatment of adult patients with unresectable advanced, metastatic or recurrent non small cell lung cancer (NSCLC) other than predominantly squamous cell histology.VEGZELMA, in combination with erlotinib, is indicated for first line treatment of adult patients with unresectable advanced, metastatic or recurrent NSCLC with Epidermal Growth Factor Receptor (EGFR) activating mutations (see section 5.1).VEGZELMA, in combination with interferon alfa 2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer.VEGZELMA, in combination with carboplatin and paclitaxel is indicated for the front line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer (see section 5.1).VEGZELMA, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other vascular endothelial growth factor (VEGF) inhibitors or VEGF receptor–targeted agents.VEGZELMA in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents (see section 5.1).VEGZELMA, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix (see section 5.1).",,,2022-06-20 17:10:00,2023-05-10 08:23:00,https://www.ema.europa.eu/en/medicines/human/EPAR/vegzelma
27,Human,Elfabrio,Fabry Disease,pegunigalsidase alfa,Pegunigalsidase alfa,EMEA/H/C/005618,no,Authorised,A16AB20,no,no,no,no,no,no,no,2023-05-04 00:00:00,,Chiesi Farmaceutici S.p.A,"Other alimentary tract and metabolism products, ",,2023-02-23 01:00:00,,,Elfabrio is indicated for long-term enzyme replacement therapy in adult patients with a confirmed diagnosis of Fabry disease (deficiency of alpha-galactosidase).,,,2023-02-21 15:23:00,2023-05-08 16:48:00,https://www.ema.europa.eu/en/medicines/human/EPAR/elfabrio
28,Human,Hemlibra,Hemophilia A,emicizumab,Emicizumab,EMEA/H/C/004406,no,Authorised,B02BX06,no,no,no,no,no,yes,no,2018-02-23 01:00:00,,Roche Registration Limited,Antihemorrhagics,,2018-01-25 01:00:00,2023-03-02 01:00:00,14,Hemlibra is indicated for routine prophylaxis of bleeding episodes in patients with haemophilia A (congenital factor VIII deficiency):with factor VIII inhibitorswithout factor VIII inhibitors who have:severe disease (FVIII < 1%)moderate disease (FVIII ≥ 1% and ≤ 5%) with severe bleeding phenotype.Hemlibra can be used in all age groups.,,,2018-08-23 12:07:00,2023-05-08 13:41:00,https://www.ema.europa.eu/en/medicines/human/EPAR/hemlibra
